CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Sumedha Fiscal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,5.47,5.72,5.84,4.34,17.09,12.6,13.53,9.58,7.26,11,11.41,12.25,36.03,15.56,12.33,19.47
Shiva Global,0,0,0,0,0,0,0,0,0,2.05,3.88,1.86,0,0,1.24,1.71,2.29,3.68,11.82,19.87,28.45,24.37,20.94,14.31,16.36,17.36,18.56,66.65,55.51,36.62,11.39,27.53
Tinna Rubber,0,0,0,0,0,0,0,0,0,0,6.05,0,3.2,0,0,0,0,0,0,0,0,0,19.4,30.83,34.22,64.54,37.04,62.52,51.17,35.97,0,31.52
Vikram Thermo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,11.38,11.27,13.22,7.9,10.6,11.47,18.47,25.22,29.41,41.04,35.15,66.15,58.31,41.85,44.5,102.85
Virat Industries,0,0,0,0,0,0,0,0,0,0.47,1.66,0.42,0.44,0.55,0.92,3.81,4.92,4.43,4.73,4.43,6.2,7.16,6.79,8.86,15.62,26.99,37.93,53.14,80.2,28.93,10.85,18.18
A.K.Capital Serv,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,50.25,59.1,146.77,82.36,172.29,279.64,109.86,102.53,80.78,153.71,153.38,257.8,269.02,217.14,120.29,203.74
Kiran Syntex,0,0,0,0,0,0,0,0,0,2.13,2.55,2.13,0,0,0,0,0,0,0,0,0,0,1.47,3.54,2.67,1.5,2.93,1.59,0,0,0,2.16
Kuwer Industries,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,10.83,10.17,8.17,5.35,5.93,6.93,3.36,2.92,4.74
Kamala Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Infrast.,0,0,0,0,0,0,0,0,0,1.23,3.84,2.03,1.31,0,0,0,0,0,0,1.35,1.8,27.98,23.02,24.92,69.88,0,0,0,0,0,0,0
Relaxo Footwear,0,0,0,0,0,0,0,0,0,0,63.3,62.4,18,18.6,27,34.8,42.42,40.02,48.24,33,268.44,334.74,364.86,703.92,1768.2,3876,4369.45,5969.27,7839.83,9613.32,14825.28,21717.57
GSL Securities,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0.2,1.06,0.62,0.81,2.32,0,1.38,2.07,0.94,0.44,0.11,0.3,0.51,0.44,0,0.55,0,1.39
Ador Fontech,0,0,0,0,0,0,0,0,0,6.82,6.11,2.66,3.82,5.22,8.14,22.33,33.83,23.47,37.08,25.13,61.28,154.44,156.19,131.77,119.18,154.88,157.15,147.61,185.06,178.68,98,129.5
Cinerad Communic,0,0,0,0,0,0,0,0,0,0.87,56.6,3.02,1.98,0.6,1.77,4.11,4.34,6.47,5.2,2.35,3.07,2.98,5.69,4.37,0,3.37,0,2.99,1.88,0,1.41,0
Noesis Industrie,0,0,0,0,0,0,0,0,0,8.03,0,4.96,12.75,10.61,13.74,30.77,90.55,144.91,59.66,27.57,51.72,47.39,22.96,8.29,3.98,1.16,1.66,1.74,0,0,0,0
Mahanivesh (I),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.4,88.7,414.8,195,590,440,0,0,0
Manraj Hsg.Fin.,0,0,0,0,0,0,0,0,0,2,0,0.43,2.75,0,0,3.55,0,0,4.95,0,12.32,14,9.05,8.5,0,0,0,8.5,0,0,0,0
Inland Printers,0,0,0,0,0,0,0,45.82,0,0,6.28,1.11,0,0,0,0,0,0,0,0,0,0,0,0,3.78,6.1,4.13,0,7.56,5.49,0,4.46
Marg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7,238.98,632.18,98.73,493.32,414.55,332.41,73.57,24.85,43.65,35.68,37.55,75.29,101.59,32.47,29.37
Polyspin Exports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,3.6,4.45,6.2,7.6,7.2,6.02,8.48,16,17.64,32.4,45.8,58,26.6,49.45
Prem Somani Fin.,0,0,0,0,0,0,1.65,1.32,0,0,0,2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0
Kemistar Corp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12,4.2,0,2.16,0,0,0,36.58,41.59,46.1
Sumeru Industrie,0,0,0,0,0,0,0,0,0,0,1.8,4.54,1.01,0,0,2.59,3.02,10.58,14.04,3.82,4.68,2.09,2.16,1.51,4.61,3.96,0,8.64,8.21,9.14,0,4.97
KEN Fin.Serv.,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,16.7,18.6,15.81,4.73,2.59,1.21,1.42,0,0,0,0,0
York Exports,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,1.59,5.51,2.92,4,3.15
Progrex Ventures,0,0,0,0,0,0,0,0,0,2.49,5.35,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,5.59,5.28,0,0,0,0,1.8
JCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LN Industries,0,0,0,0,0,0,0,0,0,0,1.95,1.41,0,0,0,5.2,6.82,8,9.88,10.01,25.21,283.4,74.89,65.59,52.88,21.05,30,36.41,0,0,0,0
Venus Universal,0,0,0,0,0,0,0,0,0,0,1.52,4.4,9.61,1.26,1.41,2.86,1.81,2.16,2.91,1.26,1.91,1.31,1.05,0.35,1.46,0.95,0,0,0,0,0,0
Lykis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,18.44,41.78,104.74,125.94,94.26,83.22,44.37,29.06,50.96
Flora Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeleCanor Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,1.6,2.05,4.45,7.45,25.88,30.2,22.14,9.8,0,0,6.69,6.17,7.69,6.49,0,7.26
Intl. Housg.Fin.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.28,6.95,3.04,5.77,11.96,0,16.72,14.91,0,0,0,0
Interface Fin.,0,0,0,0,0,0,0,0,0,0,6.02,0,2.01,2.96,0,2.5,6.02,7.21,4.14,1.65,1.74,1.98,8.16,8.9,11.62,9.14,0,0,0,0,0,0
Terryfab (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Tools,0,0,0,0,0,0,0,0,0,6.74,26.68,15.39,10.41,11.46,26.33,46.84,81.19,56.09,43.3,21.89,64.64,82.97,75.07,63.61,78.49,188.85,305.06,770.36,1285.88,1163.04,468.49,702.47
Ajel,0,0,0,0,0,0,0,0,0,1.5,9.05,0.31,0.54,0.39,1.03,1.25,1.15,2.82,1.8,29.43,44.66,10.94,7.55,4.31,2.2,3.17,4.25,5.5,5.99,7.34,4,4.21
Natl. Wind Power,0,0,0,0,0,0,0,0,0,3.28,2.34,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devki Leasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,1.05,0.88,1.35,1.05,1.28,1.05,1.76,0.74,0.7,0.5,0.81,0,0.64,0.42,0,0.54,0.7
Zenith Health,0,0,0,0,0,0,0,0,0,1.21,2.47,0,1.56,0.59,1.19,4.03,2.85,2.85,7.47,3.44,6.13,4.84,3.39,2.69,3.28,4.25,4.62,5.32,4.03,12.52,4.78,30.47
Supreme Holdings,0,0,0,0,0,0,0,0,0,1.57,1.73,2.55,0,3.46,1.7,2.2,4.15,10.52,32.74,14.06,21.8,30.63,81.6,121.52,38.14,99.34,145.82,98.81,44.17,86.57,32.64,50.49
Noble Brothers,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gowra Leasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,4.8,3.78,5.45,6.02,6.62,4.88,4.28,3.78,6.68,5.97,6.3,4.95,4.5,4.82
Hitkari Industri,0,0,0,0,0,0,0,0,0,3.21,3.05,2.25,0,0.91,3.64,4.46,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raj Rayon Inds.,0,0,0,0,0,0,0,0,0,1.51,0,1.51,3.51,2.28,15.17,28.29,93.52,40.93,24.51,8.81,16.87,21.72,16.36,17.32,9.06,14.92,13.17,9.35,12.13,6.58,6.58,7.62
Info-Drive Softw,0,0,0,0,0,0,0,0,0,1.8,12.57,0,0,2.25,0,1.15,2.19,8.76,159.07,70.61,65.64,81.84,85.67,26.74,27.82,40.25,25.01,11.88,11.79,0,0,0
Alps Industries,0,0,0,0,0,0,0,0,0,0,101.13,61.37,18.6,13.45,26.83,65.15,323.82,178.15,133.38,23.47,38.27,12.05,8.57,5.4,5.48,7.78,17.17,25.34,12.2,13.57,2.89,6.92
Malvika Steel,0,0,0,0,0,0,0,0,0,46.31,63.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Nandaa Spin.,0,0,0,0,0,0,0,0,0,1.35,3.33,3.96,0.95,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radford Global,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.38,32.48,0,0,0,0,0,0,0
Balmer Lawr.Frei,0,0,0,0,0,0,0,0,0,3.24,0.89,1.19,0,44.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texplast Inds.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,3.39,0,0,0,9.54,0,0,0,0,0,0,0
Garg Furnace,0,0,0,0,0,0,0,0,0,0,1.43,0,0,2.07,1.64,6.81,8.94,14.52,9.28,4.3,8.14,6.72,7.16,4.1,7.58,3.18,4.48,3.82,4.25,0,5.26,9.92
Terai Tea Co,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,27.45,24.08,31.96,35.05,54.32,46.1,33.44,41.28,27.97,26.21,31.13,24.25
Sh. Ganesh Knit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prima Plastics,0,0,0,0,0,0,0,0,0,28.33,19.91,6.11,4.18,3.3,5.5,7.16,14.96,10.33,10.78,5.29,14.05,16.17,13.71,13.9,14.43,59.07,142.67,281.55,191.29,108.02,28.05,85.47
Carnation Inds.,0,0,0,0,0,0,0,0,0,0,6.17,0,0,2.28,1.41,15.36,9.53,6.23,4.98,3.18,5.28,4.93,3.81,3.11,4.67,8.68,13.58,16.23,10.19,3.29,1.94,1.39
Paramount Comm.,0,0,0,0,0,0,0,0,0,10.92,50.45,21.34,14.57,6.25,5.49,22.94,187.83,242.09,213.79,57.54,101.57,33.78,22.05,13.96,16.91,34.44,32.69,43.96,187.77,192.57,123.55,159.23
Akar Auto Indust,0,0,0,0,0,0,0,0,0,1.56,1.56,0.72,0,0,0,3.46,13.21,14.66,25.76,9.32,16.76,40.56,16.55,9.35,8.52,15.36,24.74,31.26,50.6,41.64,16.88,19.8
Sampre Nutrition,0,0,0,0,0,0,0,0,0,3.37,1.69,1.3,1.37,0,1.25,2.51,4.22,0,0,0,0,4.19,3.73,4.82,4.62,4.05,26.53,19.74,23.88,13.52,8.19,7.06
Sheetal Diamonds,0,0,0,0,0,0,8.25,2.25,0,1,2.75,0.63,0,0,0,0,0,0,0,0,0,6.03,2.15,1.25,2.45,1.65,0,1.5,3.44,1.74,0.65,1.1
Jagsonpal Fin.,0,0,0,0,0,0,0,0,0,0,5.06,0,1.93,2.45,0,0,0,0,0,0,0,0,2.61,2.84,2.86,1.32,1.28,1.64,5.51,4.72,1.29,0.74
Vipul Organics,0,0,0,0,0,0,0,0,0,0.44,1.17,0,0,0,0.69,1.57,1.73,3.17,7.72,2.82,5.68,10.37,8.31,6.35,6.36,12.31,13.68,56.38,125.87,139.12,71.34,163.11
Prime Property,0,0,0,0,0,0,0,0,0,0,3.06,17.9,7,9.85,21.05,28,228,133.1,148.9,100,108.8,47.9,30,23.88,19.86,37.76,37,54.31,49.98,38.95,16.24,13.58
COSCO (India),0,0,0,0,0,0,0,0,0,6.66,12.06,4.85,2.81,3.54,4.99,9.11,10.17,11.81,13.23,6.32,11.23,22.96,17.47,18.7,22.42,74.09,55.12,108.16,138.55,69.7,25.38,42.12
Jindal Leasefin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,4.81
Sturdy Industrie,0,0,0,0,0,0,0,0,0,2.13,1.85,2.4,0,0,0,2.58,5.22,4.63,21.89,12.97,20.47,23.62,16.13,13.95,9.45,8.42,8.04,17.39,0,4.69,3.78,6.5
Rungta Irrigatn.,0,0,0,0,0,0,0,0,0,0,14.98,0,10.15,0,0,0,0,0,23.84,8.66,37.21,29.9,17.37,18.61,6.06,10.85,20.25,26.71,24.81,17.76,0,13.82
Swastika Investm,0,0,0,0,0,0,0,0,0,0,2.18,0,0,1.05,1.35,2.68,4.47,4.85,8.28,5.03,12.74,15.3,9.35,8.6,9.15,12.02,11.41,21.1,45.29,23.24,18.13,39.32
Archana Software,0,0,0,0,0,0,0,0,0,0,0,2.07,1.21,0,0,0,0,0,0,0,0,0,1.91,1.17,0.81,1.11,1.41,1.48,2.15,1.78,0,2.47
Explicit Finance,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,3.08,3.16,3.19,3.71,11.73,0,6.94,3.79,2.31,2.09,1.68,1.63
Nila Infrastruct,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,2.46,4.66,4.93,19.84,23.9,8.87,25.01,60.52,87.97,76.46,76.75,299.14,463.15,651.06,768.08,317.87,98.87,174.49
Ladderup Finance,0,0,0,0,0,0,0,0,0,0.8,1.74,0,0.12,0,0,1.2,1.79,5.88,9.6,4.81,17.11,25,18.92,18.76,38.42,21.97,17.73,33.6,46.9,35.47,36.94,16.7
ERP Soft Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.35,0,25.34,30.49,0,0,0,0,0,18.69
Sunbright Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87,13.72,19.22,0,0,0,0,0,0
Cupid,0,0,0,0,0,0,0,0,0,1.86,1.39,0,0,2.88,5.58,12.42,14.08,32.21,13.81,3.79,6.94,6.41,6.95,7.34,11.66,94.26,322.33,365.35,263.81,184.93,188.87,280.5
Lyons Indl. Ent.,0,0,0,0,0,0,0,0,0,0,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U. Y. Fincorp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.75,0.74,1.97,1.7,1.89,4.98,61.79,54.37,65.96,78.57,75.91,119.85,134.69,75.91,29.87,60.31
Indo Asia Financ,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.4,3.33,5.37,5.4,6.96,4.95,11.48,8.58,7.24,4.01,3.55,5.16,6.12,3.15,0,3.12,0,2.91
Eggro Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDJ Holiday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.43,2.67,29.12,0,147.57,86.08,42.85,0,0,0,0,0
Purbasha Resourc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosboard Inds.,0,0,0,0,0,0,0,0,0,0,1.11,0.5,0.56,0,0.75,0,0,0,0,0,0,7.72,7.29,4.33,4.33,3.53,5.22,14.29,12.01,2.04,0,1.72
Lakshmi Energy,0,0,0,0,0,0,0,0,0,4.72,17.28,5.4,1.94,2.72,20.77,231.07,900.82,910.69,1381.15,619.68,790,259.44,114.71,135.56,150.96,61.51,123.96,384.83,132.53,29.53,0,0
Natco Polyplast,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dynamic Portfol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,3.86,0,5.63,0,3.1,1.82,2.45,1.85,4.9
Xedd Telecom,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceejay Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,2.37,3.5,3.47,4.14,3.06,4.31,5.54,6.23,5.59,6.56,18.13,13.18,21.44,58.12,34.33,16.91,26.58
Hipolin,0,0,0,0,0,0,0,0,0,6.81,5.95,4.52,3.05,2.66,3.29,4.84,5.16,6.26,6.13,3.22,8.95,10.41,9.39,10.94,10.67,11.53,10.05,13.74,10.77,7.36,6.75,11.8
mk Aromatics,0,0,0,0,0,0,0,0,0,0,5.37,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Crop Safe,0,0,0,0,0,0,0,0,0,3.51,1.08,0,0,0,0,2.22,3.39,4.29,4.41,3.2,6.53,10.35,10.14,10.63,8.38,10.03,18.16,107.91,117.54,93.48,31.65,32.09
Ram Info,0,0,0,0,0,0,0,0,0,18.4,97.61,11.99,6.9,4.45,3.53,11.3,16.86,20.57,14.11,5.93,8.87,5.87,5.91,3.09,4.74,14.52,13.72,17.14,15.48,31.59,6.55,20.41
BLS Infotech,0,0,0,0,0,0,0,0,0,5.38,39.3,6.74,2.01,1.06,2.38,6.63,3.66,16.87,53.4,14.01,31.95,21.45,6.57,6.13,7.44,7,14.44,14.44,13.13,8.32,8.32,8.32
KLG Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.86,4.88,21.44,22.77,26.26,18.9,10.98,10.03,6.91,7.68,8.78,5.76,3.5,1.98,3.2,3.72
Regaliaa Realty,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,7.65,6.84,5.87,2.68,3.49,4.36,0,5.58,5.22,0,0,0,0,6.32,0,0
Khyati Multimed.,0,0,0,0,0,0,0,0,0,0,16.98,13.5,2,5.4,0.65,4.32,2.48,3.46,5.94,1.33,1.74,1.23,0.83,0.77,0.89,0.89,0,0.86,0,0.6,0.41,0.71
Cil Securities,0,0,0,0,0,0,0,0,0,0,5.4,2.83,0,0,0,4.9,6.53,8,14.93,5,8.23,7.6,6.73,4.68,4.01,8.2,6.33,10.9,13.57,6.8,4.64,6.47
Bharat Textiles,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.67,7.67,0,0,3.95,0,0,0,0
Five Core Exim,0,0,0,0,0,0,0,0,0,0,0.95,0,0.71,0.75,0,1.24,1.88,7.38,15.98,46.83,79.21,70.83,56.64,61.85,58.59,10.42,6.84,5.08,11.46,13.35,1.63,0
Ramsons Projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,5.42,8.13,8.46,5.12,3.74,2.48,4.8,4.14,4.95,4.55,2.86,0,2.56,0,3.24
BNR Udyog,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,2.33,2.66,2.69,2.66,1.94,3.35,3.86,3.69,3.54,3.71,6.89,10.19,12.07,7.59,5.89,4.8,3.15
India Home Loans,0,0,0,0,0,0,0,0,0,0.7,1.25,0.47,2.4,0,0,1.84,1.41,2.47,7.08,2.4,14.32,46.22,47.32,61.92,57.16,53.89,45.71,153.39,137.82,97.83,48.56,53.99
Roopa Industries,0,0,0,0,0,0,0,0,0,1.01,0,0.67,0,0.57,1.01,3.91,2.55,2.73,3.03,1.71,5.12,7.45,6.82,4.57,7.82,3.93,5.82,10,10.93,8.6,8.22,7.36
Capital India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,9.45,0,10.68,10.62,8.47,0,5.43,17.38,1049.41,660.74,1125.59
Gangotri Iron,0,0,0,0,0,0,0,0,0,0,0,1.86,0.71,0,0,5.77,8.19,11.3,13.61,14.75,68.6,130.09,110.11,28.43,6.76,1.61,0.91,0,0,0,0,0
Integ. Thermopl.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,4.58,3.53,2.38,2.77,2.95,0,0,0
J R Foods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,0,0,0,0,6.27,17,3.25,2.36
RKB Agro Indust.,0,0,0,0,0,0,0,0,0,1.63,2.16,0.6,0.28,0.36,1.24,1.56,1.17,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhageria Indust.,0,0,0,0,0,0,0,0,0,2.08,1.38,2.25,0,3.46,3.25,4.5,6,4.81,8.41,5.02,8.25,9.72,21.42,17.12,23.41,103.99,111.8,506.43,446.87,599.13,335.84,688.49
CLIO Infotech,0,0,0,0,0,0,0,0,0,0.81,23.18,2.09,1.43,0.99,0.44,1.76,2.5,6.76,3.26,2.26,2.53,1.87,1.76,0.95,1.02,0.88,1.05,1.4,2.2,2.29,2.41,2.63
Refnol Resins,0,0,0,0,0,0,0,0,0,1.24,2.32,2.01,0,0.94,0,1.62,4.73,3.03,3.49,1.71,4.08,3.48,2.81,2.31,5.53,2.35,4.64,11.9,9.58,5.72,5.78,7.77
Global Securitie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.17,19.88,119.38,12.44,0,0,0,0,0,0,0
Libord Securitie,0,0,0,0,0,0,0,0,0,0,2.08,0,0,0,1.79,1.5,1.63,2.8,6.43,5.25,5.08,3.5,3.45,4.2,3.25,3.25,3.6,4.89,5.32,3.8,0,5.47
Daikaffil Chem,0,0,0,0,0,0,0,0,0,2.1,8.87,1.47,0.6,0.71,1.33,2.93,5.93,4.15,5,3.64,10.49,8.97,6.59,5.71,6.9,14.13,15.72,38.31,34.11,22.38,10.56,16.08
Sh. Ganesh Elas.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.42,8.97,0,0,0,0,3.41
Sarthak Global,0,0,0,0,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,0,0,8.25,0,0,6.96,6.55,0,2.33,0,0,0
Remsons Ind,0,0,0,0,0,0,0,0,0,0,0,5.39,0,10.58,9.94,11.21,13.03,11.93,12.42,9.25,12.73,11.68,13.5,7.62,10.79,17.19,23.92,29.38,41.71,46.82,33.4,80.51
GDL Leasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fredun Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,14.35,48.88,168.8,46.5,184.94
SFL Internationa,0,0,0,0,0,0,0,0,0,0,0,2.02,0,0,0,3.19,2.02,3.95,3.04,3.67,4.93,11.41,12.52,11.98,13.57,27.23,13.42,14.08,0.72,0.25,0,0
S I Cap. & Fin.,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,4.32,6.87
Haryana Fin. Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.64,0,0,0,0,0,0,0,0,0,0,0,0
Matra Kaushal,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,4,9.35,146.25,0,93.4,47.61,0,0,0
Onesource Ideas,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,5.64,0,4.34
Sunil Agro Foods,0,0,0,0,0,0,0,0,0,0,2.55,0,0.98,2.1,1.95,2.4,3.6,4.65,4.85,5.75,5.1,4.85,6.53,4.34,4.86,5.1,15.84,14.32,18.3,7.26,5.59,10.4
Alka India,0,0,0,0,0,0,0,0,0,0,6.5,11.75,12.5,6.25,10.5,52.5,32,23.5,48.5,17.5,19.5,13.5,9.5,4.5,4.5,4,9.5,9.5,9.5,9.5,9.5,27.5
Asia Pack,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,4.01,4.75,0,3.51,3.46,5.53,0,5.94,0,4.36
Stanpacks(India),0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,1.5,2.75,4.58,5.29,4.58,3.6,3.84,3.76,2.23,3.48,3.35,0,4.19,3.66,3.63,2.94,0,1.53
Polo Hotels,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,0,3.18,3.6,7.51,0,5.51,11.83,14.28,58.24,29.54,36.29,17.19,14.83,17,16,11.21,5.37,7.52
Arunjyoti Bio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,3.54,3.78,6.27,3.84,0,0,0,0,1.42
Indo Brit.Agro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balaji Amines,0,0,0,0,0,0,0,0,0,0,6.3,0,0,8.4,35.01,99.07,65.13,84.96,71.28,38.3,98.73,144.02,119.72,114.05,129.44,262.61,578.36,1229.94,1823.37,1584.73,813.1,5711.81
Arihant's Secur.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,2.63,2.26,2.55,8,0,7.28,4.5,7.62,7.25,3.33,0,3.66,3.83,3.8,3.89,0,1.81
N G Industries,0,0,0,0,0,0,0,0,0,0,4.71,0,5.14,4.86,7.54,9.8,18.34,17.2,14.92,11.44,17.14,20.5,24.47,18.12,16.88,28.12,25.07,26.36,25.78,21.49,15.07,13.33
Sun Granite Exp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0
Swarna Securitie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,1.08,3.6,2.85,3.9,0,0,4.28,0,0,3.84
Sai Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infra Industries,0,0,0,0,0,0,0,0,0,13.3,6.62,0,1.5,0,2.4,4.13,10.78,5.81,4.58,1.51,2.67,2.55,2.2,2.02,2.51,0,0,3.23,3.65,0,3.95,3.89
Super Bakers (I),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,2.26,0.82,1.09,1.5,1.37,1.72,2.49,1.45,1.62,0.95,2.2,0,3.17,3.53,3.78,1.7,2.85
Pithampur Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,9.67,8.33,0,0,6.27,0,0,0
ABL Bio-Tech.,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,8.06,13.84,20.09,41.62,28.09,9.8,16.24,7.25,4.03,2.13,4.76,2.63,0.62,0,0,0,0,0
GSL Nova Petro.,0,0,0,0,0,0,0,0,0,22.33,45.45,58.58,44.4,54,55.69,57.38,151.2,39.15,43.47,35.1,20.22,9.8,6.43,3.11,1.54,1.62,1.86,6.37,1.89,1.43,0,0
Mefcom Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,3.46,19.17,12.7,13.92,5.8,9.2,9.36,8.91,12.25,10.64,8.18,8.86,11.87,17.37,19.61,0,5.94
JPT Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.33,1.2,2.6,10.44,14.67,19.66,16.22,8.65,6.78,3.64,4.74,4.89,5.3,4.67,1.81,0,1.7
