CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carborundum Uni.,0,0,0,0,0,0,0,0,0,107.08,104.06,65.57,76.68,98.12,197.96,595.66,1443.66,1372.71,1006.31,731.86,1586.02,2136.73,2924.38,2226.31,2745,3544.35,3306.06,5489.95,6564.28,7682.5,4159.49,9653.02
CEAT,0,0,0,0,0,0,0,0,0,71.3,183.09,73.94,89.96,89.61,127.81,346.47,300.21,489.93,373.22,118.98,510.86,353.01,302.85,320.83,1584.94,3254.82,4385.4,5356.2,6074.59,4547.6,3183.83,6315.27
ITD Cem,0,0,0,0,0,0,0,0,0,208.6,78.37,48.24,60.67,87.59,109.56,215.75,617.14,284.77,421.8,85.88,227.98,223.89,207.88,203.1,163.93,1153.21,1685.79,2655.53,2687.62,2259.87,509.35,1333.07
Century Enka,0,0,0,0,0,0,0,0,0,101.13,165.06,162.05,151.08,232.56,333.23,376.33,348.37,250.32,217.24,127.32,571.81,397.45,243.3,220.36,311.47,327.09,378.22,933.87,658.89,551.28,258.7,553.57
Century Textiles,0,0,0,0,0,0,0,0,0,279.12,396.82,300.98,308.89,394.49,885.28,2081.3,4131.91,5073.47,6785.41,2045.95,4735.74,3256.87,3429.45,2677.69,3374.1,6468.07,5905.35,11764.91,12791.95,10416.18,3303.96,5190.5
Chettinad Cement,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.05,0.07,0.07,0.07,0.08,0.09,0.11,0.13,0,0,0,0,0,0,0,0
Exide Inds.,0,0,0,0,0,0,0,0,0,731.55,442.82,264.25,231.92,263.51,915.9,1061.63,1969.13,3198.75,5368,3316,10548.5,12133.75,12656.5,10982,10280.75,15104.5,11870.25,19035.75,18865.75,18585.25,11156.25,15601.75
Chowgule Steam,0,0,0,0,0,0,0,0,0,10.4,20.33,16.34,12.35,10.89,40.41,73.89,92.05,82.06,141.25,79.16,152.68,130.17,75.34,41.32,37,86.96,50.11,54.28,46.11,29.16,11.07,19.03
Cipla,0,0,0,0,0,0,0,0,0,2798.6,6722.34,5989.8,6104.65,4284.56,7016.19,7640.18,19848.57,18319.78,17080.07,17080.07,27065.76,25777.11,24452.32,30490.13,30807.27,57106.55,41149.34,47651.13,43738.1,42645.77,34103.75,65746.92
Citurgia Biochem,0,0,0,0,0,0,0,0,0,7.27,12.56,7.44,5.76,2.86,3.45,5.2,6.76,5.49,0,0,124,280.57,423.37,0,0,0,0,0,0,0,0,0
Clutch Auto,0,0,0,0,0,0,0,0,0,7.01,9.31,6,3.44,3.75,9.73,61.96,224.89,151.02,101.2,26.1,104.75,88.57,51.87,32.83,23.58,24.58,0,0,0,0,0,0
DIC India,0,0,0,0,0,0,0,0,0,68.07,93.43,55.67,53.09,75.79,73.72,103.94,180.24,111.2,146.82,110.06,202.4,215.71,253.75,173.67,343.29,310.43,519.3,427.28,425.9,315.11,261.78,360.92
Colgate-Palmoliv,0,0,0,0,0,0,0,0,0,2447.82,1973.21,2101.05,1916.1,1652.28,1771.27,2468.9,5875.45,4520.31,5199.96,6402.2,9183.4,11081.28,15177.6,16951.72,18678.92,27382.92,22510.89,27153.69,28767.92,34228.03,34078.44,42418.88
Clariant Chemica,0,0,0,0,0,0,0,0,0,278.29,162.23,62.09,140.15,232.88,287.7,294.74,384.74,856.45,650.1,524.67,1440.84,1771.69,1731.43,1290.88,1706.11,2169.49,1372.67,1656.12,1228.99,837.75,526.96,857.84
Computer Point,0,0,0,0,0,0,0,0,0,1.7,14.24,2.66,4.14,1.13,2.81,7.76,3.6,3.18,4.47,6.6,22.8,10.56,4.95,3.9,3.51,3.36,3.93,4.65,3.69,2.76,1.11,1.26
Tata Coffee,0,0,0,0,0,0,0,0,0,0,183.62,142.16,101.01,85.17,152.38,365.87,454.03,447.6,393.53,278.94,671.91,1798.97,1559.81,2759.63,1781.51,1701.48,1677.2,2352.37,2117.98,1685.6,1048.72,2235.64
Coromandel Inter,0,0,0,0,0,0,0,0,0,102.14,99.15,95.35,127.85,121.72,274.56,523.7,1217.77,831.54,1627.04,1268.89,4418.58,8060.89,8056.93,5237.35,6289.47,7817.16,5532.18,9123.41,15315.04,14605.89,15933.75,22711.91
Cosmo Films,0,0,0,0,0,0,0,0,0,16.15,34.36,19.57,39.68,84.09,127.87,114.99,135.21,142.2,166.21,121.11,231.63,182.15,171.17,134.82,98.37,149.98,565.9,724.92,479.68,377.14,405.32,1126.8
CG Power & Indu.,0,0,0,0,0,0,0,0,0,187.52,200.58,125.43,240.9,269.18,806.76,2269.45,5495.71,7310.84,10085.62,4512.23,16749.56,17509.74,8862.32,6010.85,10009.14,10403.99,3083.59,4863.58,4872.95,2679.34,320.27,8944.52
DCM,0,0,0,0,0,0,0,0,0,35.54,31.46,11.3,6.87,12.34,17.64,52.75,131.05,85.6,78.21,28.16,78.82,132.52,162.42,106.71,150.25,144.51,138.34,231.51,164.55,114.77,27.92,45.57
Dalmia Bharat,0,0,0,0,0,0,0,0,0,145.35,138.47,98.57,114.75,98.69,218.56,295.52,1010.57,1551.4,2293.71,633.84,2033.46,194.68,109.28,117.38,127.9,140.85,803.83,1402.05,520.51,993.66,395.85,1510.12
Bharatpur Nutri.,0,0,0,0,0,0,0,0,0,3.63,5.16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deccan Cements,0,0,0,0,0,0,0,0,0,16.1,18.62,12.91,17.75,23.45,26.92,44.56,62.33,88.34,175.46,93.8,128.8,95.9,124.18,145.35,119.42,216.44,403.38,793.03,709.76,583.97,262.22,579.56
Deepak Fertiliz.,47.42,98.13,673.09,84.87,76.09,169.74,84.67,88.2,125.68,135.83,149.06,122.16,150.38,164.05,291.5,552.57,875.39,748.82,867.89,499.21,1004.6,1399.73,1331.82,882.88,1060.16,1207.9,1301.39,2308.19,2531.78,1171.74,669.19,2329.74
Deepak Nitrite,0,0,0,0,0,0,0,0,0,32.83,32.6,16.01,16.1,22.02,33.06,52.3,172.84,111.15,103.04,73.07,143.16,185.28,151.05,277.03,447.73,709.81,787.85,1715.59,3394.14,3745.35,5272.96,22599.64
Deltron,0,0,0,0,0,0,0,0,0,4.4,5.6,3.36,0,0,0,3.32,3.97,0,6.44,5.77,10.83,0,0,0,0,0,0,0,0,0,0,0
Dharamsi Morarji,0,0,0,0,0,0,0,0,0,23.48,22.32,11.64,11.57,11.16,12.15,23.88,28.3,20.86,23.76,8.59,28.7,22.24,15.94,15.94,20.58,33.48,121.29,208.64,236.56,365.99,168.72,793.46
